exercise,muscle_group
Single Arm Clubbell Order Alternating Lateral Lunge,Quadriceps
Single Arm Clubbell Order Alternating Forward Lunge,Quadriceps
Single Arm Clubbell Order Alternating Reverse Lunge,Quadriceps
Clubbell Front Flag Hold Alternating Lateral Lunge,Quadriceps
Clubbell Front Flag Hold Alternating Forward Lunge,Quadriceps
Clubbell Front Flag Hold Alternating Reverse Lunge,Quadriceps
Double Clubbell Front Flag Hold Alternating Lateral Lunge,Quadriceps
Double Clubbell Front Flag Hold Alternating Forward Lunge,Quadriceps
Double Clubbell Front Flag Hold Alternating Reverse Lunge,Quadriceps
Single Arm Clubbell Front Flag Hold Alternating Lateral Lunge,Quadriceps
Single Arm Clubbell Front Flag Hold Alternating Forward Lunge,Quadriceps
Single Arm Clubbell Front Flag Hold Alternating Reverse Lunge,Quadriceps
Landmine Low Hold Alternating Lateral Lunge,Quadriceps
Landmine Goblet Alternating Lateral Lunge,Quadriceps
Landmine Goblet Alternating Reverse Lunge,Quadriceps
Macebell Order Alternating Lateral Lunge,Quadriceps
Macebell Order Alternating Forward Lunge,Quadriceps
Macebell Order Alternating Reverse Lunge,Quadriceps
Double Kettlebell Overhead Cyclist Squat,Quadriceps
Double Kettlebell Bottoms Up Overhead Cyclist Squat,Quadriceps
Double Kettlebell Bottoms Up Front Rack Cyclist Squat,Quadriceps
Single Arm Kettlebell Bottoms Up Overhead Cyclist Squat,Quadriceps
Double Dumbbell Front Rack Cyclist Squat,Quadriceps
Double Dumbbell Overhead Cyclist Squat,Quadriceps
Single Arm Dumbbell Front Rack Cyclist Squat,Quadriceps
Single Arm Dumbbell Overhead Cyclist Squat,Quadriceps
Bodyweight Alternating Lateral Lunge,Quadriceps
Bodyweight Alternating Forward Lunge,Quadriceps
Bodyweight Alternating Reverse Lunge,Quadriceps
Macebell Order Cyclist Squat,Quadriceps
Double Dumbbell Overhead Squat,Quadriceps
Single Arm Dumbbell Overhead Squat,Quadriceps
Macebell Order Squat,Quadriceps
Double Dumbbell Front Rack Bulgarian Split Squat,Quadriceps
Double Dumbbell Overhead Bulgarian Split Squat,Quadriceps
Single Arm Dumbbell Overhead Ipsilateral Bulgarian Split Squat,Quadriceps
Single Arm Dumbbell Suitcase Contralateral Bulgarian Split Squat,Quadriceps
Single Arm Dumbbell Suitcase Ipsilateral Bulgarian Split Squat,Quadriceps
Single Arm Dumbbell Front Rack Contralateral Bulgarian Split Squat,Quadriceps
Single Arm Dumbbell Front Rack Ipsilateral Bulgarian Split Squat,Quadriceps
Clubbell Order March,Abdominals
Macebell Order Walking Lunge,Quadriceps
Suspension Alternating Lateral Lunge,Quadriceps
Bulgarian Bag Back Rack Alternating Lateral Lunge,Quadriceps
Bulgarian Bag Back Rack Walking Lunge,Quadriceps
Bulgarian Bag Back Rack Alternating Forward Lunge,Quadriceps
Heavy Sandbag Bear Hug Alternating Lateral Lunge,Quadriceps
Heavy Sandbag Shoulder Alternating Lateral Lunge,Quadriceps
Sandbag Front Rack Alternating Lateral Lunge,Quadriceps
Sandbag Front Rack Walking Lunge,Quadriceps
Sandbag Front Rack Alternating Forward Lunge,Quadriceps
Sandbag Front Rack Alternating Reverse Lunge,Quadriceps
Plate Overhead Walking Lunge,Quadriceps
Plate Overhead Alternating Lateral Lunge,Quadriceps
Plate Overhead Alternating Forward Lunge,Quadriceps
Plate Overhead Alternating Reverse Lunge,Quadriceps
Bodyweight Full Planche Push Up,Chest
Bodyweight Straddle Planche Push Up,Chest
Bodyweight Tuck Planche,Abdominals
Bodyweight Tuck Planche Push Up,Chest
Bodyweight Pseudo Planche Lean,Abdominals
Bar L Sit Hang,Abdominals
Ring L Sit Hang,Abdominals
Single Arm Bar L Sit Hang,Abdominals
Single Arm Ring L Sit Hang,Abdominals
Double Kettlebell L Sit Flutter Kicks,Abdominals
Parallette L Sit Flutter Kicks,Abdominals
Resistance Band Chest Fly,Chest
Resistance Band Low Row,Back
Resistance Band Mid Row,Back
Resistance Band Face Pull,Shoulders
Resistance Band Face Pull to Overhead Press,Shoulders
Single Arm Resistance Band Low Row,Back
Single Arm Resistance Band Mid Row,Back
Single Arm Suspension Mid Row,Back
Single Arm Resistance Band Chest Press,Chest
Resistance Band Reverse Grip Bicep Curl,Forearms
Resistance Band Alternating Reverse Grip Bicep Curl,Forearms
Resistance Band Hammer Curl,Biceps
Resistance Band Alternating Hammer Curl,Biceps
Resistance Band Y Raise,Shoulders
Clubbell Order Box Step Up,Quadriceps
Clubbell Order Alternating Box Step Up,Quadriceps
Bodyweight L Sit,Abdominals
Bodyweight Single Arm L Sit,Abdominals
Kettlebell Goblet Walking Lunge,Quadriceps
Kettlebell Horn Grip Alternating Lateral Lunge,Quadriceps
Kettlebell Low Hold Alternating Lateral Lunge,Quadriceps
Kettlebell Horn Grip Alternating Forward Lunge,Quadriceps
Kettlebell Horn Grip Alternating Reverse Lunge,Quadriceps
Kettlebell Horn Grip Walking Lunge,Quadriceps
Resistance Band Cuban Press,Shoulders
Resistance Band Tall Kneeling Cuban Press,Shoulders
Single Arm Macebell Order Cossack Squat,Quadriceps
Single Arm Macebell Order Low Switch Cossack Squat,Quadriceps
Single Arm Macebell Order Alternating Cossack Squat,Quadriceps
Single Arm Macebell Order Foot Elevated Cossack Squat,Quadriceps
Stability Ball Feet Elevated Glute Bridge,Glutes
Bodyweight Mountain Climber,Abdominals
Suspension Mountain Climber,Abdominals
Bodyweight Straddle L Sit,Abdominals
Double Kettlebell Straddle L Sit,Abdominals
Bodyweight Cossack Squat,Quadriceps
Single Arm Macebell Order Walking Lunge,Quadriceps
Resistance Band Pull Apart,Shoulders
Resistance Band Tall Kneeling Face Pull,Shoulders
Barbell Back Rack Alternating Box Step Up,Quadriceps
Barbell Front Rack Alternating Box Step Up,Quadriceps
Resistance Band Overhead Press,Shoulders
Resistance Band Alternating Overhead Press,Shoulders
Ring Tuck L Sit,Abdominals
Ring Tuck L Sit Hang,Abdominals
Bar Tuck L Sit Hang,Abdominals
Double Kettlebell Low Hold Cossack Squat,Quadriceps
Double Kettlebell Low Hold Alternating Cossack Squat,Quadriceps
Ring Support Mountain Climber,Abdominals
Ring Mountain Climber,Abdominals
Double Kettlebell Mountain Climber,Abdominals
Alternating Double Dumbbell Overhead Press,Shoulders
